Title,Brand,Screen_Size,Ram,Series,Rating,Color,Chipset,Wireless,Weight,No_of_Processor,Flash_Memory,Battery,No_of_Reviews,Price
"Newest Samsung Chromebook 4 11.6” Laptop Computer for Business Student, Intel Celeron N4020(Up to 2.8GHz), 4GB RAM, 32GB eMMC, Webcam, WiFi, Bluetooth, USB Type-C , Chrome OS, Silver+JVQ MP",SAMSUNG,116 Inches,4 GB LPDDR4,Samsung 11 chromebook,4.5 out of 5 stars,Silver,Intel,80111ac,26 pounds,2,32 GB,1 Lithium Ion batteries required included,95 ratings,$179.00
"SAMSUNG 2022 14” FHD(1920 x 1080) Laptop, Windows 11 OS, Qualcomm Octa Core Snapdragon Processor 2.55GHz, 4GB LPDDR4x, 64GB SSD (Renewed)",SAMSUNG,14 Inches,Qualcomm,Samsung,4.0 out of 5 stars,None,Qualcomm,Bluetooth,34 pounds,1,64 GB,1 Lithium Ion batteries required included,204 ratings,nan
"Samsung Galaxy Chromebook Go-Laptop Computer Lightweight Slim Durable Design 12-Hour-Battery Wi-Fi 6 Share Files-with-Phone, Black,Silver,32GB",SAMSUNG,14 Inches,32 GB,Chromebook Go,4.2 out of 5 stars,Silver,Intel,Bluetooth 80211ax,32 pounds,1,32 GB,1 Lithium Ion batteries required included,187 ratings,$212.83
"SAMSUNG 15.6” Galaxy Book2 Pro Laptop Computer, i7 / 16GB / 512GB, 12th Gen Intel Core Processor, Evo Certified, Lightweight, 2022 Model, Graphite",SAMSUNG,156 Inches,512 GB SSD,Galaxy Book2 Pro 156 i716G512G Graphite,4.3 out of 5 stars,Graphite,Intel,Bluetooth,245 pounds,1,512 GB,1 Lithium Ion batteries required included,206 ratings,"$1,114.07"
"MSI Pulse GL66 15.6"" FHD 144Hz Gaming Laptop: Intel Core i7-12700H RTX 3070 16GB 512GB NVMe SSD, Type-C USB 3.2 Gen 1, RGB Gaming Keyboard, Cooler Boost 5, Win11 Home: Black 12UGKV-464",MSI,156 Inches,3200 MHz,Pulse GL66,4.4 out of 5 stars,Black,NVIDIA,Bluetooth,868 pounds,1,512 GB,1 Lithium Polymer batteries required included,129 ratings,"$1,289.96"
"ASUS ProArt StudioBook Pro 16 OLED Laptop, 16” 3840x2400 OLED Display, Intel Core i9-12900H CPU, 32GB DDR4, 2TB PCIe SSD, Nvidia RTX A3000, Windows 11 Pro, W7600Z3A-XB96, Mineral Black",ASUS,16 Inches,1 TB SSD,ASUS ProArt StudioBook Pro 16 OLED,4.6 out of 5 stars,Black,NVIDIA,Bluetooth 80211ax,529 pounds,14,1 TB,1 Lithium Ion batteries required included,4 ratings,nan
Samsung Chromebook 4 Chrome OS 11.6-inch HD Intel Celeron Processor N4000 4GB RAM 32GB eMMC Gigabit Wi-Fi - XE310XBA-K01US (Renewed),SAMSUNG,116 Inches,2133 GHz,Samsung Chromebook,4.5 out of 5 stars,Silver,Intel,80111ac,37 pounds,1,None,1 Lithium Ion batteries required,"1,692 ratings",nan
"EXCaliberPC 2022 MSI Creator Z16P B12UHT-041 (i7-12700H, 32GB RAM, 1TB NVMe SSD, RTX 3080 8GB, 16"" QHD+ 165Hz Touch, Windows 11 Pro) Content Creation Laptop",EXCaliberPC,16 Inches,NVIDIA GeForce RTX 3080,Creator Z16P B12UHT,nan,32GB RAM,NVIDIA,Bluetooth,527 pounds,14,None,None,nan,"$3,049.00"
"EXCaliberPC 2022 MSI Titan GT77 12UGS-009 (i7-12800HX, 32GB RAM, 1TB NVMe SSD, RTX 3070Ti 8GB, 17.3"" 4K UHD, Windows 11 Pro) Gaming Laptop",EXCaliberPC,173 Inches,NVIDIA GeForce RTX 3070 Ti,Titan GT77 12UGS,5.0 out of 5 stars,32GB RAM,NVIDIA,None,682 pounds,16,32 GB,None,1 rating,"$2,599.00"
"Lenovo Ideapad 1i Thin Light Laptop, 14.0"" HD Display, Intel Celeron N4020(up to 2.80 GHz), 4GB RAM, 64GB eMMC + 128GB PCIe SSD, WiFi 6, Webcam, 10Hr Battery, Windows 11 S, Cloud Grey",Lenovo,14,11 GHz,Lenovo Ideapad 1i,2.9 out of 5 stars,Silver,Intel,Bluetooth 80211ax,439 pounds,2,64 GB,1 Lithium Ion batteries required,3 ratings,$219.00
"Acer Aspire 5 A515-56-32DK Slim Laptop - 15.6"" Full HD IPS Display - 11th Gen Intel i3-1115G4 Dual Core Processor - 4GB DDR4 - 128GB NVMe SSD - WiFi 6 - Amazon Alexa - Windows 11 Home in S mode.",Acer,156 Inches,41 GHz,A5155632DK,4.3 out of 5 stars,Silver,Intel,80211ax,548 pounds,2,128 GB,1 Lithium Ion batteries required included,"4,029 ratings",$269.99
"ASUS TUF Dash 15 (2021) Ultra Slim Gaming Laptop, 15.6"" 144Hz FHD, GeForce RTX 3050 Ti, Intel Core i7-11370H, 8GB DDR4, 512GB PCIe NVMe SSD, Wi-Fi 6, Windows 10, Eclipse Grey Color, TUF516PE-AB73",ASUS,156 Inches,8 GB DDR4,TUF Dash 15 2021,4.5 out of 5 stars,Eclipse Grey,NVIDIA,Bluetooth 80211ax,441 pounds,8,512,1 Lithium Ion batteries required included,"1,314 ratings",$890.99
"Acer Nitro 5 AN515-57-79TD Gaming Laptop | Intel Core i7-11800H | NVIDIA GeForce RTX 3050 Ti Laptop GPU | 15.6"" FHD 144Hz IPS Display | 8GB DDR4 | 512GB NVMe SSD | Killer Wi-Fi 6 | Backlit Keyboard",Acer,156 Inches,3200 MHz,AN5155779TD,4.5 out of 5 stars,Black,NVIDIA,80211ax,48 pounds,8,512 GB,1 Lithium Ion batteries required included,"5,215 ratings",$809.00
"Apple MacBook Pro with Intel Core i5, 2.8GHz, (13.3-inches, 8GB, 512GB SSD) - Silver (Renewed)",Apple,133 Inches,512 GB SSD,None,4.3 out of 5 stars,None,Intel,80211a,346 pounds,2,512 GB,1 Lithium Ion batteries required,31 ratings,nan
"ASUS 2020 VivoBook 15 15.6 Inch FHD 1080P Laptop (AMD Ryzen 3 3200U up to 3.5GHz, 16GB DDR4 RAM, 256GB SSD, AMD Radeon Vega 3, Backlit Keyboard, FP Reader, WiFi, Bluetooth, HDMI, Windows 10) (Grey)",ASUS,156 Inches,16 GB DDR4,ASUS,4.3 out of 5 stars,Black,AMD,80211ac,38 pounds,2,256 GB,1 Lithium Metal batteries required included,577 ratings,$359.00
"ASUS ROG Strix G15 (2022) Gaming Laptop, 15.6” 300Hz IPS FHD Display, NVIDIA GeForce RTX 3060, AMD Ryzen 7 6800H, 16GB DDR5, 1TB SSD, RGB Keyboard, Windows 11 Home, G513RM-IS74",ASUS,156 Inches,16 GB DDR5,ROG Strix G15,nan,Eclipse Gray,NVIDIA,80211ax,958 pounds,8,1 TB,1 Lithium Ion batteries required included,nan,"$1,299.99"
"Lenovo - 2021 - IdeaPad Gaming 3 - Laptop Computer - 15.6"" FHD Display -120Hz - AMD Ryzen 5 5600H - 8GB RAM - 256GB Storage - NVIDIA GeForce GTX 1650 - Windows 11 Home",Lenovo,156,3200 MHz,Lenovo IdeaPad Gaming 3,4.4 out of 5 stars,Shadow Black,NVIDIA,80211ax,689 pounds,1,None,1 Lithium Polymer batteries required included,"1,297 ratings",$639.90
ANSI HAZ LOC Hazardous Locations CF-31/SSD 500GB/ 16GB RAM/DVD/core i5/4G LTE/CLASS1 Division 2 / DIV 2/ Windows 10 PRO 64 BIT/WiFi/PANASONIC TOUGHBOOK/Rugged Laptop/Notebook/INTRINSICALLY Safe,Toughbook,13 Inches,Intel HD Graphics,Cf31 hzardour locations,5.0 out of 5 stars,None,Intel,None,10 pounds,2,None,1 Lithium Ion batteries required,1 rating,nan
"2022 HP Flagship Laptop, Intel Dual-Core Processor up to 2.65GHz, 15-inch, 4GB DDR4, 500GB Storage, Super-Fast WiFi, Windows 11, Dale Red (Renewed)",HP,15,None,None,2.9 out of 5 stars,None,None,None,524 pounds,None,None,1 Lithium Ion batteries required,86 ratings,nan
"Panasonic Toughbook CF-54, Intel Core i5-5300U @2.30GHz, 14.0  HD Touchscreen, 8 GB, 256 GB SSD, WiFi, Bluetooth, Windows 10 Pro (Renewed)",Panasonic,14 Inches,23 GHz,CF54,3.8 out of 5 stars,SilverBlack,Intel,Bluetooth 80211a,2 pounds,2,256,1 Lithium Ion batteries required included,4 ratings,nan
"Acer Aspire Vero AV15-51-7617 Green PC | 15.6"" FHD IPS 100% sRGB-Display | 11th Gen Intel Core i7-1195G7 | Intel Iris Xe Graphics | 16GB DDR4 | 512GB NVMe SSD | Wi-Fi 6 | PCR Materials | Vero-Sleeve",Acer,156 Inches,2666 MHz,Aspire Vero,4.5 out of 5 stars,Gray,Intel,80211ax,396 pounds,4,512 GB,1 Lithium Ion batteries required included,276 ratings,$589.00
"Dell Precision M7730 Laptop, 17.3Inch HD+ (1600x900), Intel Core 8th Gen i7-8850H, 16GB (2x8GB) RAM, 512GB Solid State Drive, Windows 10 Pro (Renewed)",Dell,173 Inches,26 GHz,Dell Precision M7730,nan,None,AMD,80211ac,699 pounds,1,None,1 Lithium Ion batteries required included,nan,nan
"GIGABYTE AERO 15-X9-RT5W Thin+Light Performance Laptop, 15.6 144Hz FHD IPS Display, GeForce RTX 2070, Intel Core i7-8750H, 16GB DDR4, 1TB NVMe SSD, Up to 8-hrs Battery (AERO 15-X9-RT5W)",GIGABYTE,156 Inches,41 GHz,AERO 15X9RT5W,3.0 out of 5 stars,156  AERO 15 OLED  2019,NVIDIA,Bluetooth 80211ac,812 pounds,6,1,1 Lithium Polymer batteries required included,6 ratings,"$2,599.00"
"Lenovo Chromebook Flex 3 11"" Laptop, 11.6-Inch HD IPS Display, MediaTek MT8173C, 4GB RAM, 64GB Storage, Chrome OS, Blizzard White",Lenovo,116,2400 MHz,Ideapad Flex 3 Chromebook,4.5 out of 5 stars,Blizzard White,PowerVR,80111ac,265 pounds,1,None,1 Lithium Polymer batteries required included,"4,527 ratings",$149.00
"ASUS VivoBook 14 Laptop Computer, 14""  IPS FHD Display, Intel Core i3-1115G4 Processor, 4GB DDR4, 128GB PCIe SSD, Fingerprint Reader, Windows 11 Home in S Mode, Slate Grey, F415EA-AS31",ASUS,14 Inches,41 GHz,ASUS VivoBook 14,4.4 out of 5 stars,Slate Grey,Intel,80211ac,33 pounds,2,128 GB,1 Lithium Ion batteries required included,348 ratings,$255.00
HP 2020 Flagship 14 Chromebook Laptop Computer 14-inch HD SVA Anti-Glare Display Intel Celeron N5000 Processor 4GB DDR4 64GB eMMC WiFi Webcam Chrome OS (Renewed),HP,14 Inches,4 GB LPDDR4,HP Chromebook 14ana0031wm,4.4 out of 5 stars,Silver,Intel,Bluetooth,3 pounds,2,1,1 Lithium Ion batteries required,"2,337 ratings",nan
"HP 2022 Newest Upgraded Touch-Screen Laptops for College Student & Business, 15.6 inch FHD Computer, Intel 11th Generation Core i7 1165G7, 16GB RAM, 1TB SSD, HDMI, Webcam, Windows 11, ROKC MP",HP,156 Inches,1000 GB SSD,None,5.0 out of 5 stars,None,Intel,Bluetooth,393 pounds,4,None,1 Lithium Ion batteries required included,2 ratings,$849.99
"MSI GS75 Stealth Gaming Laptop: 17.3"" 240Hz Display, Intel Core i7-10875H, NVIDIA GeForce RTX 2060, 16GB RAM, 512GB NVMe SSD, Win10 Pro, Black (10SE-620)",MSI,173 Inches,16 GB DDR4,GS75 Stealth,4.4 out of 5 stars,Gold Black,NVIDIA,None,529 pounds,8,16,1 12V batteries required,235 ratings,nan
"HP Chromebook 11-inch Laptop - Up to 15 Hour Battery Life - MediaTek - MT8183 - 4 GB RAM - 32 GB eMMC Storage - 11.6-inch HD Display - with Chrome OS™ - (11a-na0021nr, 2020 model, Snow White)",HP,116 Inches,32 GB Embedded MultiMediaCard,Chromebook 11a,4.4 out of 5 stars,Snow White,Integrated,80211abgnac Bluetooth,236 pounds,8,None,1 Lithium Metal batteries required included,"2,906 ratings",$159.99
"Microsoft Surface Laptop 3 15"" Touch 16GB 512GB AMD Ryzen 7 3780U, Platinum (Renewed)",Microsoft,15 Inches,16 GB DDR4,Surface Laptop 3,3.5 out of 5 stars,Platinum,AMD,Bluetooth 80211abg,34 pounds,4,None,1 Lithium Ion batteries required included,3 ratings,nan
"Acer Swift 3 Intel Evo Thin & Light Laptop, 14"" Full HD, Intel Core i7-1165G7, Iris Xe Graphics, 8GB LPDDR4X, 256GB NVMe SSD, Wi-Fi 6, Fingerprint Reader, Back-lit KB, SF314-59-75QC",Acer,14 Inches,8 GB LPDDR4,Swift 3,4.4 out of 5 stars,Pure Silver,Intel,Bluetooth,264 pounds,4,256,1 Lithium Ion batteries required included,435 ratings,$439.00
"EXCaliberPC 2022 MSI Prestige 14 A12UC-006 (i7-1260P, 16GB RAM, 512GB NVMe SSD, RTX 3050 4GB, 14"" FHD, Windows 11 Pro) Professional Laptop - Carbon Gray",EXCaliberPC,14 Inches,512 GB SSD,Prestige 14 A12UC,3.0 out of 5 stars,16GB RAM,NVIDIA,Bluetooth,464 pounds,12,None,None,1 rating,"$1,199.00"
"Sceptre 30-inch Curved Gaming Monitor 21:9 2560x1080 Ultra Wide/ Slim HDMI DisplayPort up to 200Hz Build-in Speakers, Metal Black (C305B-200UN1)",Sceptre,30 Inches,None,None,4.6 out of 5 stars,Metal Black,None,None,122 pounds,None,None,None,"9,214 ratings",$238.20
Dell Inspiron 15 3000 15.6-inch Full HD 11th Gen Intel Core i5-1135G7 12GB 256GB SSD Laptop,Dell,156 Inches,12 GB DDR4,Dell Inspiron,4.2 out of 5 stars,Black,Intel,Bluetooth,1 pounds,4,256 GB,1 Lithium Ion batteries required,469 ratings,$409.00
"HP Newest 2022 15.6in FHD Business Laptop, AMD Ryzen 5 5500U 6 core CPU (Beat i7-1160G7, up to 4GHz), 16GB RAM, 512GB PCIe NVMe SSD, AMD Radeon Graphics, WiFi, Windows 11, Blue + Generic Accessories",HP,156 Inches,4 GHz,Laptop,4.2 out of 5 stars,Blue,AMD,80211abgnac,37 pounds,6,512 GB,1 Lithium Ion batteries required,341 ratings,$429.00
Generic 11.6 inches HD Screen Compatible with Chromebook 11 CB3-111 Laptop Replacement LED LCD,Generic,116 Inches,None,None,4.6 out of 5 stars,None,None,None,8 ounces,None,None,None,57 ratings,$28.50
"EXCaliberPC 2022 MSI Prestige 14Evo A12M-012 (i5-1240P, 16GB RAM, 512GB NVMe SSD, Intel Iris Xe, 14"" FHD, Windows 11 Pro) Professional Laptop - Carbon Gray",EXCaliberPC,14 Inches,512 GB SSD,Prestige 14Evo A12M,nan,16GB RAM,Intel,Bluetooth,36 pounds,12,None,None,nan,"$1,099.00"
Dell Latitude 7490 Laptop 14 - Intel Core i5 7th Gen - i5-7200U - Dual Core 3.1Ghz - 512GB SSD - 16GB RAM - 1920x1080 FHD - Windows 10 Pro (Renewed),Dell,14 Inches,31 GHz,Dell Latitude,3.8 out of 5 stars,None,Intel,Bluetooth,4 pounds,2,None,None,20 ratings,nan
"Asus TUF 17.3"" 144Hz FHD (1920 x 1080) Gaming Laptop, Intel Tiger Lake Core i5-11260H (6 Cores,12 Threads), NVIDIA GeForce RTX 3050 Ti , Backlit Keyboard,Windows 10, (8GB RAM | 512GB PCIe SSD)",ASUS,173 Inches,26 GHz,Antique,4.4 out of 5 stars,Black,NVIDIA,80211ax,57 pounds,6,512 GB,1 Lithium Polymer batteries required included,67 ratings,$869.00
Dell Latitude E7250 Intel i5-5300U 2.30Ghz 8GB RAM 256GB SSD Win 10 Pro (Renewed),Dell,125 Inches,23 GHz,Latitude e7250,4.1 out of 5 stars,Black,Intel,80211ac,28 pounds,1,None,1 Lithium Ion batteries required included,354 ratings,nan
"Blackview Tablet Tab8, 10.1 inch Android Tablets with 4GB+64GB Octa Core Processor,1920x1200 IPS FHD Display, 13MP+5MP Dual Camera, GPS, FM, 5G WiFi Teblet Grey",Blackview,101 Inches,16 GHz,Blackview Tab8,4.2 out of 5 stars,Tab8 Grey,Intel,None,132 pounds,8,64 GB,1 Lithium Polymer batteries required included,70 ratings,$89.99
"ASUS PN41 Fanless MiniPC Barebone with Intel 11th gen Quad Core Celeron N5100, Support Dual 4K, WiFi, Bluetooth 5, VESA Mount",ASUS,11 GHz celeron,Integrated,PN41BBF5000AFC,2.5 out of 5 stars,None,Intel,Bluetooth 80211bnac,29 pounds,1,None,Lithium Polymer batteries required included,7 ratings,nan
"Dell Latitude 5430 Laptop - 14"" FHD IPS Display - 3.3 GHz Intel Core i5-1245U 10-Core (12th Gen) - 16GB - 512GB SSD - Windows 11 Pro",Dell,14 Inches,SSD,Latitude 5430,nan,None,Intel,None,509 pounds,10,512 GB,1 Lithium Ion batteries required included,nan,$899.00
"Dell Newest Inspiron 3000 15.6 Inch FHD Touchscreen Laptop, Intel i5-1135G7 Up to 4.2GHz, Beat i7-1060G7, 16GB RAM, 512GB PCIe SSD,SD Card Reader, Webcam, HDMI, Windows 11 Home, Black",Dell,156 Inches,512 GB SSD,None,3.0 out of 5 stars,None,Intel,80211ac,374 pounds,4,512 GB,1 Lithium Ion batteries required included,1 rating,$589.99
"Lenovo IdeaPad Gaming 3 15 15.6"" Laptop, 15.6"" FHD (1920 x 1080) Display, AMD Ryzen 5 5600H Processor, GeForce RTX 3050, 8GB DDR4 RAM, 512GB NVME SSD, Windows 10 Home, Black, Mousepad Bundle",Lenovo,156 Inches,8 GB SDRAM,Ideapad Gaming 3 15 Laptop,5.0 out of 5 stars,Shadow Black,NVIDIA,Bluetooth 80211ax,485 pounds,4,512 GB,1 Lithium Ion batteries required,4 ratings,$835.00
"Dell 2022 Newest Inspiron 7506 2-in-1 Laptop, 15.6"" Full HD Touchscreen, Intel Core i5-1135G7, 16GB DDR4 RAM, 1TB SSD, Webcam, Backlit Keyboard, Fingerprint Reader, HDMI, Wi-Fi 6, Windows 11 Home",Dell,156 Inches,1 TB SSD,Inspiron,3.3 out of 5 stars,Silver,Intel,None,624 pounds,4,None,None,3 ratings,$899.00
"Dell Precision M7520 7520 Mobile Workstation, 15.6 inches FHD (1920x1080) Intel Core i7-6820HQ, 32GB DDR4 Ram, 512GB Solid State Drive, Windows 10 Pro (Renewed)",Dell,156 Inches,512 GB SSD,DELL,3.5 out of 5 stars,None,NVIDIA,80211ac,589 pounds,4,512 GB,1 Lithium Ion batteries required included,24 ratings,nan
"2022 Dell Inspiron 5620 16"" FHD+ (1920x1200) Laptop - 12th Intel i7-1255U 10-Core - 32GB DDR4 - 2TB NVMe SSD - Iris Xe Graphics - Backlit Keyboard w/ Fingerprint Reader - WiFi 6E - Windows 11 Pro",Dell,16 Inches,32 GB DDR4,Dell 5000,4.0 out of 5 stars,Platinum Silver,Intel,80211ax,8 pounds,10,None,None,1 rating,nan
Dell Latitude 5491 Laptop 14 Intel Core i7 8th Gen i7-8850H Six Core 512GB SSD 16GB 1920x1080 FHD Windows 10 Pro (Renewed),Dell,14 Inches,512 GB SSD,Dell Latitude,4.1 out of 5 stars,None,NVIDIA,80211ac,363 pounds,6,512,1 Lithium Ion batteries required,6 ratings,nan
"2021 MSI Creator 17 B11UE-471 (i7-11800H, 16GB RAM, 512GB NVMe SSD, RTX 3060 6GB, 17.3"" 4K UHD, Windows 10) Content Creation Laptop",EXCaliberPC,173 Inches,46 GHz,Creator 17 B11UE,5.0 out of 5 stars,16GB RAM,NVIDIA,Bluetooth,54 pounds,8,None,None,1 rating,nan
"Dell Latitude 13 5330 Laptop - 13.3"" WVA FHD Touch Screen Display - 3.6 GHz Intel Core i7-1265U 10-Core (12th Gen) - 256GB SSD - 16GB RAM - Windows 11 pro",Dell,133 Inches,SSD,Latitude 5330,5.0 out of 5 stars,None,Intel,80211ax,484 pounds,10,256 GB,1 Lithium Ion batteries required included,1 rating,"$1,199.00"
"Dell Latitude E7270 12.5-Inch Ultrabook - Intel Core i7-6600U 2.6GHz, 16GB RAM, 256GB SSD, Bluetooth, Webcam, Windows 10 Pro (Renewed)",Dell,125 Inches,SSD,Dell Latitude,4.1 out of 5 stars,None,Intel,Bluetooth,132 pounds,2,256 GB,1 Lithium Ion batteries required included,45 ratings,nan
"Dell Chromebook 11, Intel Celeron-N2840 Proc, 4GB RAM DDR3L Memory, 16GB eMMC SSD Storage, Chrome OS, Black",Dell,11 Inches,16 GB SSD,Chromebook 11,4.0 out of 5 stars,Black,Intel,Bluetooth,29 pounds,1,16,1 Lithium Ion batteries required included,420 ratings,nan
"2022 Newest HP Stream 14"" HD Display, Intel Celeron N4120 Processor, 4GB Memory - 64GB eMMC ,WiFi ,Bluetooth, Type-C, 802.11AC , Win10 S - Indigo Blue",HP,14 Inches,4 GB DDR4,HP Laptop,nan,Indigo Blue,Intel,Bluetooth 80211ac,453 pounds,2,64 GB,None,nan,$245.00
"HP [Windows 11 Pro] 17 17.3"" FHD Business Laptop, 11th Gen Intel Dual Core i3-1115G4 Processor, 12GB RAM, 256GB PCIe SSD, Intel Integrated SoC, Wi-Fi, HDMI, Bluetooth 4.2 Combo, Silver, w/Battery",HP,173 Inches,256 GB SSD,None,5.0 out of 5 stars,Natural Silver,Intel,Bluetooth 80211abgnac,669 pounds,2,256 GB,1 Lithium Ion batteries required included,2 ratings,$599.00
"HP 15 Business Laptop Computer, AMD Ryzen 5 5500U, 15.6"" FHD Display, Windows 11 Pro, 16GB RAM, 512GB SSD, SD Card Reader, Fast Charge, AC Smart pin, 32GB Durlyfish USB Card",HP,156 Inches,1600 MHz,HP 15,4.4 out of 5 stars,SPRUCE BLUE,AMD,Bluetooth,373 pounds,6,512 GB,1 Lithium Ion batteries required included,43 ratings,$379.00
"Dell 2023 XPS 15 9520 15.6"" FHD+ 500 nit Laptop PC 12th Intel 14-Core i7-12700H NVIDIA RTX 3050 Ti 4GB GDDR6 64GB DDR5 4TB NVMe SSD 2xThunderbolt 4 w/DP WiFi 6E Backlit KB Fingerprint Windows 11 Pro",Dell,156 Inches,64 GB DDR5,XPS 15 9520,nan,Platinum Silver,NVIDIA,80211ax,10 pounds,14,None,None,nan,"$3,099.99"
"HP 15 Notebook, 15.6"" HD Screen, Intel Core i3-1115G4, 12GB DDR4 RAM, 256GB PCIe SSD, Webcam, HDMI, SD Card Reader, Wi-Fi, Windows 11 Home, Natural Silver",HP,156 Inches,256 GB SSD,Notebook,4.8 out of 5 stars,Silver,Intel,None,504 pounds,2,None,1 Lithium Ion batteries required included,7 ratings,$399.00
"Dell 2022 XPS 15 9520 Laptop 15.6"" FHD+ 500 nit Display 14-Core 12th Intel Core i7-12700H NVIDIA RTX 3050 Ti 4GB GDDR6 32GB DDR5 2TB NVMe SSD Thunderbolt 4 WiFi 6E Backlit KB FP Reader Windows 11 Pro",Dell,156 Inches,32 GB DDR5,XPS 15 9520,nan,Platinum Silver,NVIDIA,80211ax,10 pounds,14,None,None,nan,"$2,619.00"
"HP ProBook 650 G2 15.6 Inch Business Laptop PC, Intel Core i5 6300U up to 3.0GHz, 16 GB DDR4, 512 GB SSD, WiFi, VGA, DP, Win 10 Pro 64 Bit-Multi-Language Supports English/Spanish/French(Renewed)…",HP,156 Inches,Intel HD Integrated Graphics,ProBook,3.6 out of 5 stars,grey,Intel,24 GHz Radio Frequency,211 ounces,2,256 GB,1 Lithium Ion batteries required included,71 ratings,nan
"Dell G15 Gaming Laptop, 15.6 inch FHD 120Hz Display, AMD Ryzen 7 5800H 8-Core Processor, NVIDIA GeForce RTX 3050Ti, Backlit Keyboard, Wi-Fi 6, Windows 11, Phantom Grey (32GB RAM | 1TB PCIe SSD)",Dell,156 Inches,2666 MHz,G15,nan,None,NVIDIA,Bluetooth,828 pounds,8,1 TB,None,nan,"$1,099.00"
"Dell Latitude 7390 2-in-1 Laptop, 13.3inch FHD WVA (1920 X 1080) Touchscreen, Intel Quad Core i5-8350U, 16GB RAM, 256GB SSD, Windows 10 Pro (Renewed)",Dell,133 Inches,2400 MHz,Dell Latitude,4.1 out of 5 stars,Black,Intel,Infrared,258 pounds,1,256,None,73 ratings,nan
"Dell Precision 3510 15.6 FHD, Core i7-6820HQ 2.7GHz, 16GB RAM, 512GB SSD, Windows 10 Pro 64Bit, (Renewed)",Dell,156 Inches,Intel,Dell Precision,1.0 out of 5 stars,None,Intel,None,758 pounds,4,512 GB,None,1 rating,nan
"Dell Latitude 5480 14 HD, Core i7-6600U 2.6GHz, 16GB RAM, 512GB Solid State Drive, Windows 10 Pro 64Bit, CAM, (Renewed)",Dell,14 Inches,512 GB SSD,Dell Latitude 5480,3.7 out of 5 stars,None,Intel,None,353 pounds,2,512 GB,1 Lithium Ion batteries required included,9 ratings,nan
"Dell New Inspiron i3583 15.6"" HD Touch-Screen Laptop - Intel i5-8265U - 8GB DDR4-256GB SSD - Windows 10 - Wireless-AC - Bluetooth, SD Card Reader, HDMI & USB 3.1 -Waves MaxxAudio Pro- Black",Dell,156 Inches,8 GB DDR4,i3583i58gb256gb,4.4 out of 5 stars,Black,Intel,80211ac,44 pounds,4,256,1 Lithium Polymer batteries required included,366 ratings,$469.90
"Dell Inspiron 15 3000 Laptop (2021 Latest Model), 15.6"" HD Display, Intel N4020 Dual-Core Processor, 16GB RAM, 1B SSD, Webcam, HDMI, Bluetooth, Wi-Fi, Black, Windows 10",Dell,156 Inches,28 GHz,Inspiron,4.3 out of 5 stars,Black,Intel,Bluetooth,396 pounds,2,1 TB,None,293 ratings,$599.00
"2021 Dell New Inspiron 15 3000 Slim Laptop, 15.6"" FHD LED Display, 11th Gen Intel Core i3-1115G4 Processor, 16 GB DDR4 RAM, 1 TB HDD, HDMI, Webcam, Windows 10 Home, Black (Latest Model)",Dell,156 Inches,41 GHz,New Inspiron 15 3000,4.2 out of 5 stars,Black,Intel,Bluetooth,393 pounds,2,1 TB,None,15 ratings,$449.99
"Dell Inspiron 13 5310, 13.3 inch QHD+ Non-Touch Laptop - Intel Core i7-11390H, 16GB LPDDR4x RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11 Home - Platinum Silver (Latest Model) (Renewed)",Dell,133 Inches,16 GB LPDDR4X,Inspiron 13 5310,nan,Silver,Intel,Bluetooth,278 pounds,4,512,None,nan,nan
"Dell Latitude 5490 Business 7th Gen Laptop PC (Intel Core i5-7300U, 8GB Ram, 256GB SSD, Camera, WIFI, Bluetooth) Win 10 Pro (Renewed)",Dell,14 Inches,SSD,Dell Latitude,4.3 out of 5 stars,None,Intel,80211ac,352 pounds,2,256 MB,1 Lithium Ion batteries required included,23 ratings,nan
Dell Latitude 5580 Business Laptop | 15.6 inches Full FHD | Intel Core i5-7300U | 8GB DDR4 | 256GB SSD | Win 10 Pro (Renewed),Dell,156 Inches,8 GB SDRAM,Latitude 5580,4.6 out of 5 stars,Black,Intel,80211bgn 80211ac,419 pounds,2,256 GB,None,9 ratings,nan
"Dell Latitude 5000 5430 14"" Notebook - Full HD - 1920 x 1080 - Intel Core i7 12th Gen i7-1265U Deca-core (10 Core) 1.80 GHz - 16 GB Total RAM - 512 GB SSD - Gray",Dell,14 Inches,1600 MHz,Latitude 5000,5.0 out of 5 stars,Gray,Intel,None,53 pounds,1,None,None,1 rating,"$1,310.87"
"Dell Inspiron 17 3793 2020 Premium 17.3” FHD Laptop Notebook Computer, 10th Gen 4-Core Intel Core i5-1035G1 1.0 GHz, 16GB RAM, 512GB SSD + 1TB HDD, DVD,Webcam,Bluetooth,Wi-Fi,HDMI, Win 10 Home",Dell,173 Inches,1 TB SSD,Dell Laptop,4.3 out of 5 stars,Black,Intel,Bluetooth,768 pounds,4,512,1 A batteries required included,693 ratings,"$1,099.00"
"Dell Inspiron 16 7610, 16 inch 16:10 3K Non-Touch Laptop - Intel Core i7-11800H, 16GB DDR4 RAM, 512GB SSD, Intel UHD, Windows 10 Home - Mist Blue (Renewed)",Dell,16 Inches,46 GHz,Dell Inspiron,3.6 out of 5 stars,None,Intel,Bluetooth,776 pounds,1,512 GB,None,8 ratings,nan
