Title,Brand,Screen_Size,Ram,Rating,Disk_size,Price_dollar,Price_npr
"EXCaliberPC 2022 MSI Pulse GL76 12UEK-052 (i7-12700H, 16GB RAM, 512GB NVMe SSD, RTX 3060 6GB, 17.3"" 144Hz FHD, Windows 11) Gaming Laptop",EXCaliberPC,17.3,16.0,0.0,512.0,1449.0,192296.79
"EXCaliberPC 2022 MSI Prestige 14 A12UC-006 (i7-1260P, 16GB RAM, 512GB NVMe SSD, RTX 3050 4GB, 14"" FHD, Windows 11 Pro) Professional Laptop - Carbon Gray",EXCaliberPC,14.0,16.0,3.0,512.0,1199.0,159119.29
"EXCaliberPC 2022 MSI Prestige 14Evo A12M-012 (i5-1240P, 16GB RAM, 512GB NVMe SSD, Intel Iris Xe, 14"" FHD, Windows 11 Pro) Professional Laptop - Carbon Gray",EXCaliberPC,14.0,16.0,0.0,512.0,1099.0,145848.29
"2022 MSI Summit E16Flip A12UCT-008 (i7-1260P, 16GB RAM, 1TB NVMe SSD, RTX 3050 4GB, 16"" QHD+ Touch, Windows 11 Pro) Professional Laptop",EXCaliberPC,16.0,16.0,0.0,1024.0,1619.0,214857.49000000002
"GS66 Stealth Pro Extreme by_MSI Gaming Laptop (i7-10875H, 64GB RAM, 1TB NVMe SSD, RTX2070 Super 8GB, 15.6"" Full HD 300Hz 3ms, Windows 10 Pro) VR Ready Gamer Notebook Computer",EXCaliberPC,15.6,64.0,0.0,1024.0,2899.0,384726.29000000004
"2022 MSI Summit E14Evo A12M-025 (i7-1260P, 16GB RAM, 1TB NVMe SSD, Intel Iris Xe, 14"" FHD+, Windows 11 Pro) Professional Laptop",EXCaliberPC,14.0,16.0,0.0,1024.0,1299.0,172390.29
"EXCaliberPC 2021 XPG Xenia 14 Gaming Laptop (i5-1135G7, 16GB RAM, 512GB NVMe SSD, Intel Iris Xe, 14"" WUXGA, Windows 10) XENIA14I5G11GXELX-BKCUS",EXCaliberPC,14.0,16.0,0.0,512.0,854.21,113362.20910000001
"2022 MSI Summit E14Flip A12MT-016 Enthusiast (i7-1260P, 16GB RAM, 1TB NVMe SSD, Intel Iris Xe, 14"" QHD+ Touch, Windows 11 Pro) Professional Laptop",EXCaliberPC,14.0,16.0,0.0,1024.0,1579.0,209549.09000000003
"Apple 2021 MacBook Pro (16-inch, M1 Pro chip with 10‑core CPU and 16‑core GPU, 32GB RAM, 512GB SSD) - Space Gray Z14V0016E",Apple,16.2,32.0,4.9,512.0,2899.0,384726.29000000004
"MSI Sword 17 17.3"" 144Hz FHD Gaming Laptop Intel Core i7-11800H RTX3050TI 16GB 512GBNVMe SSD Win11 - White (A11UD-642)",MSI,17.3,16.0,0.0,512.0,1242.96,164953.22160000002
"MSI Pulse GL66 15.6"" 144Hz 3ms FHD Gaming Laptop Intel Core i7-11800H RTX3050 16GB 1TBNVMe SSD Win11 - Gray (11UCK-1249)",MSI,15.6,16.0,5.0,1024.0,950.61,126155.45310000001
"MSI 2022 GF76 Katana 17.3"" 144 Hz FHD Gaming Laptop 12th Intel i7-12700H 14-Core 32GB DDR4 1TB NVMe SSD NVIDIA GeForce RTX 3060 6GB Backlit Keyboard DTS Audio Windows 10 Pro WiFi 6 w/RATZK 32GB USB",MSI,17.3,32.0,0.0,1024.0,1649.0,218838.79
"MSI WS76 Workstation Laptop: 17.3"" 144Hz FHD 1080p, Intel Core i7-11800H, NVIDIA Quadro RTX A3000 , 32GB, 1TB SSD, Thunderbolt 4, WiFi 6E, TPM2.0 Fingerprint, Win10 PRO, Black (11UK-470)",MSI,17.3,32.0,0.0,1024.0,2084.45,276627.3595
"MSI Creator Z16 16"" QHD+ 120hz 100% DCI-P3 Premium Professional Laptop Intel Core i9-11900H RTX3060 32GB DDR4 2TB NVMe SSD TB4 Win10Pro - Lunar Gray (A11UET-254)",MSI,16.0,32.0,4.6,2048.0,2699.0,358184.29000000004
"Acer Aspire 5 A515-56-36UT, 15.6"" Full HD Display, 11th Gen Intel Core i3-1115G4 Processor, 4GB DDR4, 128GB NVMe SSD, WiFi 6, Windows 11 Home (S Mode)",Acer,15.6,4.0,4.3,128.0,239.0,31717.690000000002
"MSI Creator M16 16"" Content Creation Laptop: Intel Core i7-12650H RTX 3060 32GB 1TB NVMe SSD, QHD+ 16:10 60Hz 100% DCI-P3, 180-Degree Lay-Flat, Cooler Boost Trinity+, Win 11 Home: Black A12UEV-468",MSI,16.0,32.0,4.2,1024.0,870.0,115457.70000000001
"MSI GE76 Raider Gaming Laptop Intel Core i7-11800H, GeForce RTX 3060, 17.3"" FHD 144HZ, 16GB RAM 1TB NVMe SSD, Wi-Fi6, Windows 10",MSI,17.3,16.0,4.5,1024.0,1536.99,203973.94290000002
"MSI Modern 15A Thin and Light Daily Laptop: 15.6"" FHD 1080p, Intel Core i7-1195G7, Intel Iris Xe, 8GB, 1TB SSD, Win10, Carbon Gray (A11MU-652)",MSI,15.6,8.0,3.0,1024.0,714.49,94819.9679
"EXCaliberPC 2022 MSI Katana GF66 12UGSOK-1046 Pro Extreme (i9-12900H, 64GB RAM, 4TB NVMe SSD, RTX 3070Ti 8GB, 15.6"" 240Hz FHD, Windows 11) Gaming Laptop",EXCaliberPC,15.6,64.0,0.0,4096.0,3295.0,437279.45
"MSI 2022 GE76 Raider 17.3"" 144 Hz FHD Gaming Laptop 12th Intel Core i9-12900H 14-Core 64GB DDR5 2TB NVMe SSD NVIDIA GeForce RTX 3060 6GB RGB Backlit KB Thunderbolt 4 WiFi 6 Windows 11 Home w/32GB USB",MSI,17.3,64.0,0.0,2048.0,2409.0,319698.39
"MSI Vector GP76 17.3"" FHD 360Hz Gaming Laptop: Intel Core i7-12700H RTX 3060 16GB 1TB NVMe SSD, Type-C USB 3.2 Gen2 w/ DP 1.4, Wi-Fi 6E, Cooler Boost 5, Win11 Home: Core Black 12UE-270",MSI,17.3,16.0,5.0,1024.0,1496.24,198566.0104
"MSI GE76 Raider Gaming Laptop Intel Core i7-11800H, GeForce RTX 3060 130W, 17.3"" FHD 144HZ, Thunderbolt 4 Type-C Wi-Fi 6 32GB RAM 2TB NVMe SSD, Windows 10, w/ 32GB SD Card",MSI,17.3,32.0,0.0,32.0,1749.99,232241.1729
